year,month,value
1989,5,0.0003593625
1989,6,0.00035769375
1989,7,0.00035036
1989,8,0.00034570625000000007
1989,9,0.00034805000000000003
1989,10,0.00035093749999999996
1989,11,0.00035481749999999995
1989,12,0.00035937999999999996
1990,1,0.0003594433333333333
1990,2,0.00036015
1990,3,0.0003607983333333333
1990,4,0.00036075874999999996
1990,5,0.00036082666666666666
1990,6,0.000357228
1990,7,0.0003507333333333333
1990,8,0.0003466875
1990,9,0.000347022
1990,10,0.00035135250000000004
1990,11,0.000356055
1990,12,0.00035856
1991,1,0.00036068875
1991,2,0.00036163374999999997
1991,3,0.0003611325000000001
1991,4,0.00036213
1991,5,0.00036149
1991,6,0.00035948375
1991,7,0.00035435874999999997
1991,8,0.000347958
1991,9,0.00034909
1991,10,0.00035293125
1991,11,0.00035744
1991,12,0.00036157750000000003
1992,1,0.000364975
1992,2,0.00036239124999999997
1992,3,0.00036397124999999997
1992,4,0.00036281375
1992,5,0.0003628633333333333
1992,6,0.00036138125000000006
1992,7,0.000353418
1992,8,0.00034707333333333336
1992,9,0.0003477975
1992,10,0.00035177666666666674
1992,11,0.00035677250000000005
1992,12,0.0003599125
1993,1,0.000361615
1993,2,0.00036152199999999997
1993,3,0.000362845
1993,4,0.00036331000000000004
1993,5,0.0003634625
1993,6,0.00036120125
1993,7,0.000354055
1993,8,0.00034853624999999996
1993,9,0.0003489666666666666
1993,10,0.0003538825
1993,11,0.0003563575
1993,12,0.000360363
1994,1,0.00036311249999999997
1994,2,0.00036418875000000003
1994,3,0.0003648275
1994,4,0.00036483666666666664
1994,5,0.00036417125
1994,6,0.000361652
1994,7,0.0003570683333333333
1994,8,0.00035060500000000004
1994,9,0.000350418
1994,10,0.000356105
1994,11,0.00035960166666666667
1994,12,0.000363178
1995,1,0.00036447
1995,2,0.00036539125000000004
1995,3,0.000366365
1995,5,0.000365585
1995,6,0.000363507
1995,7,0.00035799249999999996
1995,8,0.000352435
1995,9,0.00035313125
1995,10,0.000357275
1995,11,0.000362638
1995,12,0.00036580375
1996,1,0.00036692625000000003
1996,2,0.00036649125
1996,3,0.00036742800000000005
1996,4,0.00036774625
1996,5,0.000368592
1996,6,0.00036749499999999996
1996,7,0.00036245375000000003
1996,8,0.000355746
1996,9,0.00035441875000000005
1996,10,0.0003594625
1996,11,0.00036291
1996,12,0.0003651025
1997,1,0.00036876
1997,2,0.00036909500000000006
1997,3,0.00036851250000000005
1997,4,0.00036846500000000006
1997,5,0.00036883500000000003
1997,6,0.00036699625
1997,7,0.000360701
1997,8,0.00035508199999999995
1997,9,0.0003563866666666667
